message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,Verified bank account update with strong transaction evidence and high relevance to the user but no immediate safety or urgent deadline; timely digest-style notification minimizes interruption.,0.92,message_0243
msg_091,mute,scam,Phishing attempt requesting a 6-digit login code with urgent expiration language; routing assessment marks clear scam and user previously dismissed/muted/reported similar messages. Mute to block interruptions and reduce fraud risk.,0.95,message_0238
msg_090,digest,personal,Unfamiliar sender asking identity verification about a package; direct personal relevance but explicitly non-urgent and no active transaction or safety need—can be bundled in a digest.,0.90,none
msg_048,mute,scam,Message requests immediate QR payment to avoid access-card blocking — matches payment-harvest scam. Sender and similar posts have been dismissed/reported and origin is strongly_unwanted with no legitimate transaction evidence. Safety-first: mute to prevent interruption and reduce exposure.,0.95,message_0151
msg_040,mute,forward,"Chain/forwarded superstition asking to resend to multiple groups; suspicious and unwanted pattern, user has muted this group and similar messages were dismissed—no safety or urgent relevance.",0.92,message_0136;message_0135
msg_075,notify,event,Verified ride-hailing service with an active booking today; message indicates a near-term change to pickup/route that could affect the imminent trip—user should check the app promptly.,0.93,message_0205;message_0206
msg_005,notify,promotion,Seller reserved a specific item for recipient with a firm same-day pickup deadline (by 6 PM) and strong transaction evidence; delaying risks losing the hold.,0.92,message_0401;message_0065
msg_104,mute,promotion,The user has repeatedly rejected comparable messages from this commercial origin and there is no evidence of an active transaction.,0.78,message_0224;message_0383
msg_069,mute,forward,Benign chain-forwarded greeting with no urgency or relevance; sender has strong history of repeated unwanted forwards and user has muted the group—suppress to minimize interruptions.,0.88,message_0177;message_0193
msg_107,mute,scam,Direct request to send OTP/code — classic credential-harvesting phishing. Routing assessment marks clear_scam and immediate safety risk; mute to prevent user exposure.,0.95,message_0023;message_0045
msg_070,mute,scam,Clear phishing attempt requesting OTP/verification via link with threat of account block; high safety risk—suppress notifications to avoid prompting interaction.,0.92,message_0023;message_0045
msg_003,notify,business_update,Verified Amazon India delivery-status update for an order expected today with strong active-transaction evidence and high user relevance—near-term delivery may require recipient action.,0.94,message_0031
msg_099,notify,event,"Trusted colleague added notes for tomorrow's dashboard review and asked recipient to read before the 11 AM standup — time-sensitive, high relevance to an upcoming meeting.",0.92,message_0227
msg_008,digest,promotion,Verified seller requesting post‑purchase product review; non‑urgent promotional/engagement message sent during Do Not Disturb and user allows promotions — collect for next digest to minimize interruption.,0.86,message_0296;message_0072
msg_092,notify,business_update,Verified card issuer notifying recipient of their monthly statement with strong active-transaction evidence and high relevance; no safety risk and routine account update warrants notify.,0.92,none
msg_060,notify,event,Legitimate institutional deadline from Faculty Advising with strong active-transaction evidence and high relevance—forms due by 5 PM today; immediate notification to avoid missed administrative action is warranted.,0.95,message_0404
msg_004,digest,business_update,"Verified healthcare provider with known relationship; message is an account/health update related to appointments/prescriptions with no immediate deadline—important but not urgent, so include in digest to minimize interruption.",0.86,message_0245;message_0005
msg_030,mute,promotion,The user has repeatedly rejected comparable messages from this commercial origin and there is no evidence of an active transaction.,0.88,message_0115;message_0335
msg_045,notify,urgent,"Time-sensitive, near-term delivery at the recipient's gate requesting confirmation within 10 minutes; high user relevance and immediate interruption need despite weak transaction evidence.",0.78,message_0061;message_0267
msg_052,mute,scam,"Phishing/credential-harvest pattern: sender domain mismatches official brand, unverified business and young sender domain, requests wallet details via link; routing_assessment flags clear_scam and user has repeatedly dismissed/reported similar messages with same-origin preference strongly_unwanted — mute to avoid interruption and risk.",0.95,message_0207;message_0159
msg_009,digest,personal,"Casual, non-urgent group chat about watching a match; user has muted this group and relevance is low, so defer to digest to minimize interruption.",0.86,message_0074
msg_071,digest,personal,Group message about meeting tomorrow with no exact time and sender says they will confirm later; no safety risk or required immediate action so minimize interruption and include in next digest.,0.92,message_0197;message_0198
msg_016,mute,scam,"Phishing-style urgent account verification with external login link, short deadline, and no legitimate transaction evidence; sender and origin have strong negative history and similar messages were previously reported/muted—clear scam risk, mute to avoid user exposure.",0.95,message_0024
msg_065,digest,promotion,"Verified retail promotion from a known sender; user has active relationship and prior engagement but the offer period is routine or already passed, no safety or immediate action required—minimize interruption by including in the next digest.",0.86,message_0261
msg_038,mute,forward,"Chain-letter style forward (no transaction or safety need), flagged suspicious and previously dismissed/muted by this user; not time-sensitive so mute to minimize interruption.",0.88,message_0131;message_0132
msg_086,notify,event,"Verified travel vendor sent a near-term, time-sensitive change to a confirmed airport pickup for tomorrow at 06:15; strong active-transaction evidence and risk of missed pickup if delayed to digest.",0.93,message_0222
msg_014,mute,promotion,The user has repeatedly rejected comparable messages from this commercial origin and there is no evidence of an active transaction.,0.88,message_0258;message_0018
msg_094,mute,promotion,"Verified commercial marketing from Nykaa offering a limited-time discount; user has limited/no engagement with this sender, prior dismissals/mutes, no active transaction evidence and low relevance—no need to interrupt.",0.87,message_0356
msg_029,notify,promotion,"Marketplace listing with strong active-transaction evidence, high user relevance, and a near-term pickup window this weekend — user likely affected and could miss opportunity if not notified.",0.92,message_0401;message_0113
